problem,converged,execution_time,best_solution
MONEY,False,0.4357781410217285,
MONEY,False,0.43111634254455566,
MONEY,True,0.20909357070922852,"[7, 5, 3, 4, 2, 8, 9, 0]"
APPLE,False,1.7527129650115967,
APPLE,False,0.5179264545440674,
APPLE,False,0.416851282119751,
APPLE,False,0.43738746643066406,
APPLE,False,0.4221925735473633,
APPLE,False,0.406238317489624,
APPLE,False,0.4497036933898926,
APPLE,False,0.4831504821777344,
APPLE,False,0.4011199474334717,
APPLE,False,0.41350722312927246,
APPLE,False,0.4279613494873047,
APPLE,False,0.4522969722747803,
APPLE,False,0.4123995304107666,
APPLE,False,0.42050886154174805,
APPLE,False,0.42545270919799805,
APPLE,False,0.527686595916748,
APPLE,True,0.11775422096252441,"[9, 1, 2, 3, 5, 0, 8, 6]"
APPLE,False,0.5236306190490723,
APPLE,True,0.06786775588989258,"[8, 1, 5, 2, 9, 7, 0, 3]"
APPLE,False,0.41435813903808594,
APPLE,False,0.4421076774597168,
APPLE,False,0.40776610374450684,
APPLE,True,0.1120147705078125,"[1, 8, 5, 2, 4, 9, 0, 3]"
APPLE,False,0.4998183250427246,
APPLE,False,0.459747314453125,
APPLE,False,0.5093026161193848,
APPLE,False,0.6891763210296631,
APPLE,False,0.7809891700744629,
APPLE,False,0.44570040702819824,
APPLE,False,0.41722798347473145,
APPLE,False,0.5760462284088135,
APPLE,False,0.7087728977203369,
APPLE,False,0.514833927154541,
APPLE,False,0.4127380847930908,
APPLE,False,0.49007558822631836,
APPLE,False,0.48746275901794434,
APPLE,False,0.4598267078399658,
APPLE,False,0.4778618812561035,
APPLE,True,0.15285468101501465,"[8, 1, 6, 2, 9, 7, 0, 3]"
APPLE,False,0.4440023899078369,
APPLE,False,0.44916701316833496,
APPLE,True,0.08790874481201172,"[3, 1, 4, 2, 9, 8, 0, 7]"
APPLE,False,0.4602792263031006,
APPLE,True,0.030275583267211914,"[8, 1, 5, 2, 9, 7, 0, 3]"
APPLE,False,0.48877835273742676,
APPLE,False,0.44681477546691895,
APPLE,False,0.4630744457244873,
APPLE,False,0.458115816116333,
APPLE,False,0.519406795501709,
APPLE,False,1.056631326675415,
APPLE,False,0.37815403938293457,
APPLE,False,0.5031273365020752,
APPLE,False,0.4806838035583496,
APPLE,False,0.47214770317077637,
APPLE,False,0.4393310546875,
APPLE,False,0.45723700523376465,
APPLE,False,0.5154569149017334,
APPLE,True,0.04097127914428711,"[8, 1, 4, 2, 9, 6, 0, 3]"
APPLE,False,0.4899287223815918,
APPLE,False,0.467879056930542,
APPLE,False,0.47626662254333496,
APPLE,True,0.12573838233947754,"[8, 0, 5, 1, 9, 7, 2, 3]"
APPLE,True,0.07960700988769531,"[8, 1, 7, 2, 9, 4, 0, 3]"
APPLE,False,0.46973156929016113,
APPLE,False,0.47795724868774414,
APPLE,False,0.42778444290161133,
APPLE,False,0.628565788269043,
APPLE,False,0.4470975399017334,
APPLE,True,0.09615945816040039,"[8, 1, 6, 2, 9, 7, 0, 3]"
APPLE,False,0.44824743270874023,
APPLE,False,0.4792759418487549,
APPLE,False,0.5174686908721924,
APPLE,True,0.12896442413330078,"[8, 1, 6, 2, 9, 7, 0, 3]"
APPLE,False,0.46885156631469727,
APPLE,False,0.5402669906616211,
APPLE,False,0.4609949588775635,
APPLE,False,0.5290229320526123,
APPLE,False,0.4373641014099121,
APPLE,False,0.48982882499694824,
APPLE,False,0.42671823501586914,
APPLE,False,0.493588924407959,
APPLE,False,0.5230839252471924,
APPLE,False,0.6165313720703125,
